model,areaUnderPR,areaUnderROC,testUsers,testRows,trueInteractions,threshold,accuracy,precision,recall,f1,rankingUsers,rankingRows,sampledCandidates,precisionAt10,recallAt10,ndcgAt10,mrrAt10,best_params
model1,0.4740889522962828,0.8874744014091815,133523,4590102,502812.0,0.15,0.57404279904891,0.20137038071202717,0.9738808938529709,0.3337341904792736,133523,4590102,4005690,0.35651761918863034,0.8762460184111625,0.7993534399749379,0.8373356210513027,elasticNetParam=0.0; regParam=0.001
model2,0.628524838326813,0.8725035777330066,133523,4590102,502812.0,0.3,0.48608004789436055,0.1730579607676528,0.9769993556239708,0.2940331994688516,133523,4590102,4005690,0.34225136427090924,0.8487490181380274,0.7692530845671854,0.8137081041082903,maxDepth=8; numTrees=150
