interaction_flag,n,avg_danceability,avg_energy,avg_valence,avg_acousticness,avg_loudness,avg_tempo
0,3525682,0.4931,0.5094,0.4279,0.4468,-11.8114,117.654
1,8282872,0.6141,0.643,0.5107,0.224,-7.3167,120.9524
